total_cost,holding_cost,expedite_cost,lost_sales_cost
404837.36234311236,138744.1834694968,0.0,266093.1788736156
104784.03860179384,104784.03860179384,0.0,0.0
240208.70902763092,120056.29148256984,0.0,120152.41754506106
218704.03520030607,111239.57494347185,0.0,107464.46025683422
109788.16214674973,109788.16214674973,0.0,0.0
78538.04112000938,78538.04112000938,0.0,0.0
525785.8690520828,174762.41597872088,351023.4530733619,0.0
526699.5433130275,139978.6701311041,386720.8731819234,0.0
109284.87566744721,109284.87566744721,0.0,0.0
360597.55991364305,127554.76782154596,233042.7920920971,0.0
233767.82859166802,131257.77946919348,0.0,102510.04912247453
227211.96769164805,111376.18142971025,0.0,115835.78626193778
366120.54009108467,110667.82187360506,255452.71821747962,0.0
440613.04825637746,150207.79519763167,290405.2530587458,0.0
436662.2569649581,130744.92983800998,238685.06638885287,67232.26073809528
108749.90313050323,108749.90313050323,0.0,0.0
80671.84260130899,80671.84260130899,0.0,0.0
83143.04582814637,83143.04582814637,0.0,0.0
229344.353609244,144074.82686240316,0.0,85269.52674684084
133310.19664558265,133310.19664558265,0.0,0.0
179836.418679768,101521.98140615947,0.0,78314.4372736085
93318.08576735633,93318.08576735633,0.0,0.0
73576.88685860146,73576.88685860146,0.0,0.0
92351.41755316137,92351.41755316137,0.0,0.0
115097.7692631382,115097.7692631382,0.0,0.0
651236.0901090383,162771.96518018635,488464.12492885196,0.0
232525.55312486246,92628.19796962637,0.0,139897.3551552361
434736.7133618834,108115.28160195742,326621.431759926,0.0
103663.76659602567,103663.76659602567,0.0,0.0
88299.46088584338,88299.46088584338,0.0,0.0
542773.9421584321,127207.9882388099,415565.95391962223,0.0
109603.93698431196,92413.55736122334,0.0,17190.379623088622
330080.07691284403,123506.8205713696,206573.25634147442,0.0
120617.27172786428,120617.27172786428,0.0,0.0
119669.37927572172,119669.37927572172,0.0,0.0
399543.75387124065,145923.17284315164,253620.581028089,0.0
103985.59085794214,103985.59085794214,0.0,0.0
440428.83460220427,152402.82750128754,288026.0071009167,0.0
187497.15247176442,118904.47287452527,0.0,68592.67959723914
333665.50912369933,117824.74649277185,215840.76263092746,0.0
123037.61477046766,123037.61477046766,0.0,0.0
104629.06987722617,104629.06987722617,0.0,0.0
320111.7711157217,122385.95504806422,197725.81606765752,0.0
176025.99651233735,107649.5813028899,0.0,68376.41520944746
109653.97174077733,109653.97174077733,0.0,0.0
249916.4011233023,118402.43385447586,0.0,131513.96726882644
256298.0556672905,114331.06706462588,0.0,141966.9886026646
108627.67644463253,108627.67644463253,0.0,0.0
91785.55633288226,91785.55633288226,0.0,0.0
103355.82072840889,103355.82072840889,0.0,0.0
83169.68659015602,83169.68659015602,0.0,0.0
80627.69731277692,80627.69731277692,0.0,0.0
104341.59167313948,104341.59167313948,0.0,0.0
142170.42233791685,142170.42233791685,0.0,0.0
127339.81669323824,127339.81669323824,0.0,0.0
89299.00670637898,89299.00670637898,0.0,0.0
439469.21889903257,141352.6078534605,298116.61104557203,0.0
